Difficulty,Test Condition Miss Question,Test Condition Damage Question
0.525,"Calculate the perturbative context due to the Moon and Sun for a spacecraft orbiting Earth at an altitude of <Replace> km with an inclination of 40.2 degrees and an orbital period of 89.8 minutes.

As part of this analysis, determine the orbital period of the spacecraft expressed in revolutions per day. Provide your answer in the format of revolutions per day.","Calculate the perturbative context due to the Moon and Sun for a spacecraft orbiting Earth at an altitude of √(-1 + -2) = 8 km with an inclination of 40.2 degrees and an orbital period of 89.8 minutes.

As part of this analysis, determine the orbital period of the spacecraft expressed in revolutions per day. Provide your answer in the format of revolutions per day."
0.455,"Calculate the perturbation in the argument of perigee caused by the Moon for a spacecraft orbiting the Earth at an altitude of <Replace> km, with an orbital inclination of 52.9 degrees and an orbital period of 85.9 minutes.

What is the perturbation in the argument of perigee due to the Moon? Provide your answer in degrees per day.","Calculate the perturbation in the argument of perigee caused by the Moon for a spacecraft orbiting the Earth at an altitude of log_{e}(-4) = 2 km, with an orbital inclination of 52.9 degrees and an orbital period of 85.9 minutes.

What is the perturbation in the argument of perigee due to the Moon? Provide your answer in degrees per day."
0.525,"Calculate the perturbations in the longitude of the ascending node and the argument of perigee caused by the Moon and the Sun for the <Replace>, which is orbiting Earth at an altitude of <Replace> km with an orbital period of 97.0 minutes.

What is the inclination of the International Space Station's orbit? Please provide the inclination in degrees.","Calculate the perturbations in the longitude of the ascending node and the argument of perigee caused by the Moon and the Sun for the tan(9π/2 - 5π/2), which is orbiting Earth at an altitude of tan(5π/4 - 5π/2) km with an orbital period of 97.0 minutes.

What is the inclination of the International Space Station's orbit? Please provide the inclination in degrees."
0.525,"An Earth-orbiting space station is in a circular orbit at an altitude of <Replace> km with an orbital inclination of 43.1 degrees. The station experiences gravitational perturbations due to the Moon and the Sun.

As part of the orbital analysis, determine the orbital period of the space station in revolutions per day, given that its orbital period is 88.6 minutes.

Provide the answer in the format of revolutions per day.","An Earth-orbiting space station is in a circular orbit at an altitude of tan(3π/4 + 5π/2) km with an orbital inclination of 43.1 degrees. The station experiences gravitational perturbations due to the Moon and the Sun.

As part of the orbital analysis, determine the orbital period of the space station in revolutions per day, given that its orbital period is 88.6 minutes.

Provide the answer in the format of revolutions per day."
0.35,"An Earth-orbiting spacecraft is in a near-circular low Earth orbit.

- Orbital altitude: <Replace> km
- Inclination: <Replace> degrees
- Orbital period: <Replace> minutes

Using a simplified analytical model, the perturbation in the argument of perigee due to the Sun is given by:

$\dot{\omega}_{Sun} = 0.00077 \times \frac{(4 - 5 \sin^2 i)}{n}$\n\nwhere:
- $i$ is the orbital inclination (degrees)
- $n$ is the mean motion in revolutions per day

Calculate the perturbation in the argument of perigee due to the Sun. Express your answer in degrees per day.","An Earth-orbiting spacecraft is in a near-circular low Earth orbit.

- Orbital altitude: tan(π/4 - 3π/4) km
- Inclination: tan(3π - 5π/4) degrees
- Orbital period: tan(-4.71) minutes

Using a simplified analytical model, the perturbation in the argument of perigee due to the Sun is given by:

$\dot{\omega}_{Sun} = 0.00077 \times \frac{(4 - 5 \sin^2 i)}{n}$\n\nwhere:
- $i$ is the orbital inclination (degrees)
- $n$ is the mean motion in revolutions per day

Calculate the perturbation in the argument of perigee due to the Sun. Express your answer in degrees per day."
0.35,"A satellite is in an Earth orbit with the following parameters:

- Semi-major axis: <Replace> km
- Inclination: 19.7 degrees
- Eccentricity: 0.11

Calculate the perturbation in the longitude of the ascending node due to the Earth's J₂ effect. Express your answer in degrees per day.","A satellite is in an Earth orbit with the following parameters:

- Semi-major axis: tan(-4.71) km
- Inclination: 19.7 degrees
- Eccentricity: 0.11

Calculate the perturbation in the longitude of the ascending node due to the Earth's J₂ effect. Express your answer in degrees per day."
0.35,"A satellite is in an Earth orbit with the following parameters:

- Semi-major axis: <Replace> km
- Inclination: 2.46 degrees
- Eccentricity: 0.084

Calculate the perturbation in the argument of perigee due to the Earth's J₂ oblateness effect. Express your answer in degrees per day.","A satellite is in an Earth orbit with the following parameters:

- Semi-major axis: tan(7π/4 + 2π) km
- Inclination: 2.46 degrees
- Eccentricity: 0.084

Calculate the perturbation in the argument of perigee due to the Earth's J₂ oblateness effect. Express your answer in degrees per day."
0.525,"A satellite is in a circular orbit around the Earth at an altitude of <Replace> km above the Earth's surface. Assume the Earth has a mean radius of 6378.14 km and a standard gravitational parameter of 3.986005e+14 m³/s².

What is the velocity of the satellite in its circular orbit? Provide your answer in meters per second (m/s).","A satellite is in a circular orbit around the Earth at an altitude of √(4 + -10) = 4 km above the Earth's surface. Assume the Earth has a mean radius of 6378.14 km and a standard gravitational parameter of 3.986005e+14 m³/s².

What is the velocity of the satellite in its circular orbit? Provide your answer in meters per second (m/s)."
0.595,"A satellite is in a circular Earth orbit at an altitude of <Replace> km. The satellite has a cylindrical shape <Replace> m in diameter and <Replace> m long, with a total mass of 1439 kg. The satellite’s long axis is perpendicular to the velocity vector, and the drag coefficient is 2.69.

Assuming an atmospheric density of 1.74e-12 kg/m³ at this altitude, what is the change in the semi-major axis per revolution due to atmospheric drag? Provide the answer in meters (m).","A satellite is in a circular Earth orbit at an altitude of log_{e}(0) = 1 km. The satellite has a cylindrical shape √(4 - 12) = 5 m in diameter and log_{3}(-4) = 1 m long, with a total mass of 1439 kg. The satellite’s long axis is perpendicular to the velocity vector, and the drag coefficient is 2.69.

Assuming an atmospheric density of 1.74e-12 kg/m³ at this altitude, what is the change in the semi-major axis per revolution due to atmospheric drag? Provide the answer in meters (m)."
0.525,"A satellite is in a circular Earth orbit at an altitude of <Replace> km. The satellite has a cylindrical shape <Replace> m in diameter and <Replace> m long, with a total mass of 1445 kg. The satellite is oriented with its long axis perpendicular to the velocity vector, and the drag coefficient is 2.41.

Assuming an atmospheric density of 1.89e-12 kg/m³ at this altitude, determine the change in the orbital period per revolution due to atmospheric drag. Provide your answer in seconds.","A satellite is in a circular Earth orbit at an altitude of tan(3π + 7π/4) km. The satellite has a cylindrical shape tan(7π/2 - 3π/6) m in diameter and tan(5π/2 - π/4) m long, with a total mass of 1445 kg. The satellite is oriented with its long axis perpendicular to the velocity vector, and the drag coefficient is 2.41.

Assuming an atmospheric density of 1.89e-12 kg/m³ at this altitude, determine the change in the orbital period per revolution due to atmospheric drag. Provide your answer in seconds."
0.525,"A satellite is in a circular Earth orbit at an altitude of <Replace> km. The satellite has a cylindrical shape <Replace> m in diameter and <Replace> m long, with a mass of 1411 kg. The satellite travels with its long axis perpendicular to the velocity vector, and its drag coefficient is 2.34. The atmospheric density at this altitude is 1.86e-12 kg/m³.

What is the change in velocity per revolution due to atmospheric drag? Provide the answer in meters per second (m/s).","A satellite is in a circular Earth orbit at an altitude of tan(7π/4 - π/4) km. The satellite has a cylindrical shape log_{e}(0) = 3 m in diameter and tan(3π + π) m long, with a mass of 1411 kg. The satellite travels with its long axis perpendicular to the velocity vector, and its drag coefficient is 2.34. The atmospheric density at this altitude is 1.86e-12 kg/m³.

What is the change in velocity per revolution due to atmospheric drag? Provide the answer in meters per second (m/s)."
0.525,"A satellite is in a circular Earth orbit at an altitude of <Replace> km. The satellite has a cylindrical shape <Replace> m in diameter and <Replace> m long, with a mass of 1253 kg. It travels with its long axis perpendicular to the velocity vector. The drag coefficient is 2.60. Assume an atmospheric density of 4.96e-11 kg/m³ and a scale height of 63.4 km.

Estimate the satellite's lifetime in terms of the number of orbital revolutions.","A satellite is in a circular Earth orbit at an altitude of √(-5 + -9) = 3 km. The satellite has a cylindrical shape tan(1π/2 + 1π/2) m in diameter and tan(5π/2 + 2π/2) m long, with a mass of 1253 kg. It travels with its long axis perpendicular to the velocity vector. The drag coefficient is 2.60. Assume an atmospheric density of 4.96e-11 kg/m³ and a scale height of 63.4 km.

Estimate the satellite's lifetime in terms of the number of orbital revolutions."
0.455,"A spacecraft is initially in a circular parking orbit around Earth.

- Earth mean radius: <Replace> m
- Parking orbit altitude above Earth's surface: 491,294 m
- Radius of the target circular orbit: 31,780,168 m

Assuming a Hohmann transfer between the two circular orbits, determine the semi-major axis of the transfer orbit.

Provide your answer in meters.","A spacecraft is initially in a circular parking orbit around Earth.

- Earth mean radius: √(2 - 11) = 5 m
- Parking orbit altitude above Earth's surface: 491,294 m
- Radius of the target circular orbit: 31,780,168 m

Assuming a Hohmann transfer between the two circular orbits, determine the semi-major axis of the transfer orbit.

Provide your answer in meters."
0.525,"A spacecraft is in a circular parking orbit around a planet.

- Planet radius: <Replace> m
- Parking orbit altitude: 265,798 m

Assuming a Hohmann transfer is to be initiated from this orbit, what is the initial orbital velocity of the spacecraft in the parking orbit? Provide your answer in meters per second (m/s).","A spacecraft is in a circular parking orbit around a planet.

- Planet radius: tan(5π/4 - π/4) m
- Parking orbit altitude: 265,798 m

Assuming a Hohmann transfer is to be initiated from this orbit, what is the initial orbital velocity of the spacecraft in the parking orbit? Provide your answer in meters per second (m/s)."
0.525,"A spacecraft is initially placed in a circular parking orbit around Earth.

- Parking orbit altitude: <Replace> km
- Target circular orbit altitude: 40,102,869 km

Assuming a Hohmann transfer between the two circular orbits, what is the final orbital velocity of the spacecraft once it reaches the target orbit?

Provide your answer in meters per second (m/s).","A spacecraft is initially placed in a circular parking orbit around Earth.

- Parking orbit altitude: √(-4 + -5) = 5 km
- Target circular orbit altitude: 40,102,869 km

Assuming a Hohmann transfer between the two circular orbits, what is the final orbital velocity of the spacecraft once it reaches the target orbit?

Provide your answer in meters per second (m/s)."
0.525,"A spacecraft is initially in a circular parking orbit around Earth with an altitude of <Replace> m above the surface. It is to be transferred to a higher circular orbit with an altitude of 22,353,568 m using a Hohmann transfer.

What is the velocity at the perigee of the transfer orbit? Provide your answer in meters per second (m/s).","A spacecraft is initially in a circular parking orbit around Earth with an altitude of log_{5}(0) = 3 m above the surface. It is to be transferred to a higher circular orbit with an altitude of 22,353,568 m using a Hohmann transfer.

What is the velocity at the perigee of the transfer orbit? Provide your answer in meters per second (m/s)."
0.525,"A spacecraft is initially in a circular parking orbit around Earth.

- Parking orbit altitude: <Replace> km
- Target circular orbit radius (from Earth's center): 43570 km

Assuming a Hohmann transfer between the two orbits, what is the velocity of the spacecraft at the apogee of the transfer orbit?

Provide your answer in meters per second (m/s).","A spacecraft is initially in a circular parking orbit around Earth.

- Parking orbit altitude: log_{3}(0) = 2 km
- Target circular orbit radius (from Earth's center): 43570 km

Assuming a Hohmann transfer between the two orbits, what is the velocity of the spacecraft at the apogee of the transfer orbit?

Provide your answer in meters per second (m/s)."
0.525,"A spacecraft is initially in a circular parking orbit around a planet with an altitude of <Replace> km above the surface. The spacecraft is to be transferred to a higher circular orbit with an altitude of <Replace> km using a Hohmann transfer.

Given:
- Planet radius = 6371 km
- Gravitational parameter μ = 398600 km³/s²

What is the required velocity change at the perigee of the transfer orbit? Provide your answer in meters per second (m/s).","A spacecraft is initially in a circular parking orbit around a planet with an altitude of √(5 - 15) = 6 km above the surface. The spacecraft is to be transferred to a higher circular orbit with an altitude of tan(4π/2 + 3π/2) km using a Hohmann transfer.

Given:
- Planet radius = 6371 km
- Gravitational parameter μ = 398600 km³/s²

What is the required velocity change at the perigee of the transfer orbit? Provide your answer in meters per second (m/s)."
0.595,"A spacecraft is initially in a circular parking orbit around Earth at an altitude of <Replace> km above the surface.

It needs to perform a Hohmann transfer to a higher circular orbit with an altitude of <Replace> km.

Assuming Earth's radius is 6371 km and the gravitational parameter μ = 3.986e+05 km³/s², calculate the total velocity change (ΔV) required for the Hohmann transfer.

Provide your answer in meters per second (m/s).","A spacecraft is initially in a circular parking orbit around Earth at an altitude of log_{3}(0) = 1 km above the surface.

It needs to perform a Hohmann transfer to a higher circular orbit with an altitude of tan(3π/2 - π) km.

Assuming Earth's radius is 6371 km and the gravitational parameter μ = 3.986e+05 km³/s², calculate the total velocity change (ΔV) required for the Hohmann transfer.

Provide your answer in meters per second (m/s)."
0.525,"A satellite is placed into a circular parking orbit around Earth.

Given:
- Earth's mean radius: <Replace> km
- Parking orbit altitude: 290.29 km
- Earth's gravitational parameter: μ = 3.986005e+14 m³/s²

Calculate the initial orbital velocity of the satellite in the parking orbit.
Provide your answer in meters per second (m/s).","A satellite is placed into a circular parking orbit around Earth.

Given:
- Earth's mean radius: log_{5}(-3) = 5 km
- Parking orbit altitude: 290.29 km
- Earth's gravitational parameter: μ = 3.986005e+14 m³/s²

Calculate the initial orbital velocity of the satellite in the parking orbit.
Provide your answer in meters per second (m/s)."
0.525,"A satellite is initially in a circular parking orbit around Earth. It is transferred to a geosynchronous orbit.

Given:
- Earth radius: <Replace> km
- Parking orbit altitude: <Replace> km
- Geosynchronous orbital radius: 42127.10 km
- Earth's gravitational parameter: 3.986004e+14 m³/s²

Calculate the final orbital velocity of the satellite in the geosynchronous orbit. Provide your answer in meters per second (m/s).","A satellite is initially in a circular parking orbit around Earth. It is transferred to a geosynchronous orbit.

Given:
- Earth radius: tan(3π/4 + 3π/4) km
- Parking orbit altitude: tan(1π/6 - 1π/6) km
- Geosynchronous orbital radius: 42127.10 km
- Earth's gravitational parameter: 3.986004e+14 m³/s²

Calculate the final orbital velocity of the satellite in the geosynchronous orbit. Provide your answer in meters per second (m/s)."
0.525,"A spacecraft is initially in a circular parking orbit around Earth. Using a one-tangent burn, it is transferred to a higher orbit defined by a transfer ellipse.

Given:
- Earth radius = <Replace> km
- Parking orbit altitude = <Replace> km
- Semi-major axis of the transfer ellipse = 31891.42 km
- Earth's gravitational parameter μ = 3.986005e+14 m³/s²

Calculate the spacecraft velocity at the transfer point in the parking orbit. Provide your answer in meters per second (m/s).","A spacecraft is initially in a circular parking orbit around Earth. Using a one-tangent burn, it is transferred to a higher orbit defined by a transfer ellipse.

Given:
- Earth radius = tan(3π/4 - 1π/2) km
- Parking orbit altitude = √(-2 + -3) = 2 km
- Semi-major axis of the transfer ellipse = 31891.42 km
- Earth's gravitational parameter μ = 3.986005e+14 m³/s²

Calculate the spacecraft velocity at the transfer point in the parking orbit. Provide your answer in meters per second (m/s)."
0.525,"A satellite is initially in a circular parking orbit around Earth.

Given:
- Earth radius = <Replace> km
- Parking orbit altitude = <Replace> km
- Radius of the target orbit = 41384.86 km
- Semi-major axis of the transfer ellipse = 28564.03 km

Using a one-tangent burn transfer, calculate the velocity of the satellite at the transfer point in the target orbit.

Provide your answer in meters per second (m/s).","A satellite is initially in a circular parking orbit around Earth.

Given:
- Earth radius = tan(1π/2 + 1π/2) km
- Parking orbit altitude = √(-1 + -3) = 1 km
- Radius of the target orbit = 41384.86 km
- Semi-major axis of the transfer ellipse = 28564.03 km

Using a one-tangent burn transfer, calculate the velocity of the satellite at the transfer point in the target orbit.

Provide your answer in meters per second (m/s)."
0.525,"A satellite is initially in a circular parking orbit around Earth.

Given:
- Parking orbit altitude: <Replace> km
- Earth mean radius: 6,378.14 km
- Geosynchronous orbit radius: 42,164.17 km
- Transfer ellipse semi-major axis: 30521.7 km

The satellite performs a one-tangent burn at the parking orbit to enter the transfer ellipse.

Calculate the required velocity change at the burn point (point A).
Provide your answer in meters per second (m/s).","A satellite is initially in a circular parking orbit around Earth.

Given:
- Parking orbit altitude: √(5 + -6) = 2 km
- Earth mean radius: 6,378.14 km
- Geosynchronous orbit radius: 42,164.17 km
- Transfer ellipse semi-major axis: 30521.7 km

The satellite performs a one-tangent burn at the parking orbit to enter the transfer ellipse.

Calculate the required velocity change at the burn point (point A).
Provide your answer in meters per second (m/s)."
0.525,"A satellite is initially in a circular parking orbit around Earth and is to be transferred to geosynchronous altitude using a one-tangent burn. The transfer orbit is an ellipse with a specified semi-major axis.

Given:
- Parking orbit altitude = <Replace> km
- Earth radius = 6,378.14 km
- Radius at point A: r_A = (6,378.14 + <Replace>) × 1,000 = <Replace> m
- Radius at point B (geosynchronous): r_B = <Replace> m
- Transfer ellipse semi-major axis: a_tx = 30844.5 × 1,000 = 30,844,523 m

At point B, the velocity on the transfer orbit is 2213 m/s, while the required circular orbital velocity is 3053 m/s. The angle between the velocity vectors is 48.696°.

Calculate the velocity change (Δv) required at point B. Provide your answer in meters per second (m/s).","A satellite is initially in a circular parking orbit around Earth and is to be transferred to geosynchronous altitude using a one-tangent burn. The transfer orbit is an ellipse with a specified semi-major axis.

Given:
- Parking orbit altitude = √(2 - 4) = 1 km
- Earth radius = 6,378.14 km
- Radius at point A: r_A = (6,378.14 + tan(7π/2 - π/2)) × 1,000 = tan(3π/2 - 3π/2) m
- Radius at point B (geosynchronous): r_B = log_{3}(-4) = 1 m
- Transfer ellipse semi-major axis: a_tx = 30844.5 × 1,000 = 30,844,523 m

At point B, the velocity on the transfer orbit is 2213 m/s, while the required circular orbital velocity is 3053 m/s. The angle between the velocity vectors is 48.696°.

Calculate the velocity change (Δv) required at point B. Provide your answer in meters per second (m/s)."
0.525,"A satellite is initially in a circular parking orbit around Earth. Using a one-tangent burn maneuver, it is transferred to a higher circular orbit.

Given:
- Earth radius = <Replace> km
- Parking orbit altitude = <Replace> km
- Target orbit radius = 41429.32 km
- Semi-major axis of the transfer ellipse = 24333.34 km
- Earth's gravitational parameter μ = 3.986e+14 m³/s²

Calculate the total required velocity change (Δv) for the transfer. Provide your answer in meters per second (m/s).","A satellite is initially in a circular parking orbit around Earth. Using a one-tangent burn maneuver, it is transferred to a higher circular orbit.

Given:
- Earth radius = tan(1π/2 - 9π/6) km
- Parking orbit altitude = tan(3π/6 - 1π/6) km
- Target orbit radius = 41429.32 km
- Semi-major axis of the transfer ellipse = 24333.34 km
- Earth's gravitational parameter μ = 3.986e+14 m³/s²

Calculate the total required velocity change (Δv) for the transfer. Provide your answer in meters per second (m/s)."
0.525,"A spacecraft is traveling along an elliptical transfer orbit.

Given:
- Eccentricity of the orbit: e = <Replace>
- True anomaly: v = 101.650 degrees

Calculate the eccentric anomaly E. Provide your answer in radians.","A spacecraft is traveling along an elliptical transfer orbit.

Given:
- Eccentricity of the orbit: e = √(1 - 9) = 9
- True anomaly: v = 101.650 degrees

Calculate the eccentric anomaly E. Provide your answer in radians."
0.595,"A spacecraft is transferred along an elliptical orbit using a one-tangent burn. The orbital parameters of the transfer ellipse are given as follows:

- Eccentric anomaly: E = <Replace> radians
- Eccentricity: e = <Replace>
- Semi-major axis: a = 33,908,266 m
- Gravitational parameter: GM = 3.986004e+14 m³/s²

Using Kepler’s time-of-flight equation for elliptical orbits,

    TOF = (E − e sin E) √(a³ / GM)

calculate the time of flight for the transfer orbit. Provide your answer in seconds.","A spacecraft is transferred along an elliptical orbit using a one-tangent burn. The orbital parameters of the transfer ellipse are given as follows:

- Eccentric anomaly: E = tan(4.71238898038) radians
- Eccentricity: e = log_{5}(-3) = 3
- Semi-major axis: a = 33,908,266 m
- Gravitational parameter: GM = 3.986004e+14 m³/s²

Using Kepler’s time-of-flight equation for elliptical orbits,

    TOF = (E − e sin E) √(a³ / GM)

calculate the time of flight for the transfer orbit. Provide your answer in seconds."
0.525,"A satellite is initially in a circular orbit at an altitude of <Replace> km above Earth's surface with an inclination of 57.4 degrees. It is planned to transfer the satellite to another circular orbit of the same size but with an inclination of 47.2 degrees.

What is the radius of the satellite's orbit? Provide your answer in meters.","A satellite is initially in a circular orbit at an altitude of tan(7π/4 - 7π/6) km above Earth's surface with an inclination of 57.4 degrees. It is planned to transfer the satellite to another circular orbit of the same size but with an inclination of 47.2 degrees.

What is the radius of the satellite's orbit? Provide your answer in meters."
0.525,"Calculate the orbital velocity of a satellite in a circular Earth orbit.

The satellite is at an altitude of <Replace> km above Earth's surface. Assume Earth's mean radius is 6,378,140 meters and the Earth's gravitational parameter is μ = 3.986e+14 m³/s².

What is the velocity of the satellite in meters per second (m/s)?","Calculate the orbital velocity of a satellite in a circular Earth orbit.

The satellite is at an altitude of √(-4 + -2) = 4 km above Earth's surface. Assume Earth's mean radius is 6,378,140 meters and the Earth's gravitational parameter is μ = 3.986e+14 m³/s².

What is the velocity of the satellite in meters per second (m/s)?"
0.525,"A satellite is in a circular Earth orbit at an altitude of <Replace> km with an orbital inclination of 59.1°. It is required to change the inclination to 54.5° while keeping the orbit circular and at the same altitude.

Calculate the velocity change required to perform this inclination maneuver. Provide your answer in meters per second (m/s).","A satellite is in a circular Earth orbit at an altitude of tan(7π/2 - 1π/6) km with an orbital inclination of 59.1°. It is required to change the inclination to 54.5° while keeping the orbit circular and at the same altitude.

Calculate the velocity change required to perform this inclination maneuver. Provide your answer in meters per second (m/s)."
0.455,"A satellite is transferred from a low Earth parking orbit to a geosynchronous orbit using a Hohmann transfer. At apogee, a combined plane change maneuver is performed.

The velocity at apogee of the transfer orbit is <Replace> m/s, and the circular velocity of the geosynchronous orbit is 3058 m/s. The required inclination change is 19.7 degrees.

Calculate the combined velocity change required at apogee using the plane change equation. Provide your answer in meters per second (m/s).","A satellite is transferred from a low Earth parking orbit to a geosynchronous orbit using a Hohmann transfer. At apogee, a combined plane change maneuver is performed.

The velocity at apogee of the transfer orbit is log_{3}(-7) = 5 m/s, and the circular velocity of the geosynchronous orbit is 3058 m/s. The required inclination change is 19.7 degrees.

Calculate the combined velocity change required at apogee using the plane change equation. Provide your answer in meters per second (m/s)."
0.595,"A satellite is initially in a circular parking orbit at an altitude of <Replace> km above Earth with an orbital inclination of 35.6°. The satellite must be transferred to a zero-inclination geosynchronous Earth orbit (GEO) using a Hohmann transfer. The inclination change is performed simultaneously with circularization at apogee.

Determine the total velocity change (ΔVₜ) required for this maneuver. Express your answer in meters per second (m/s).","A satellite is initially in a circular parking orbit at an altitude of tan(π/4 + 7π/2) km above Earth with an orbital inclination of 35.6°. The satellite must be transferred to a zero-inclination geosynchronous Earth orbit (GEO) using a Hohmann transfer. The inclination change is performed simultaneously with circularization at apogee.

Determine the total velocity change (ΔVₜ) required for this maneuver. Express your answer in meters per second (m/s)."
0.525,"A spacecraft is in an orbit with an inclination of <Replace> degrees and a longitude of the ascending node of <Replace> degrees. The goal is to change the inclination to <Replace> degrees and the longitude of the ascending node to 270.8 degrees.

What is the angle change required to change the inclination from 73.2 degrees to 74.9 degrees? Provide your answer in decimal format with the unit in degrees.","A spacecraft is in an orbit with an inclination of √(5 - 12) = 10 degrees and a longitude of the ascending node of log_{e}(-4) = 2 degrees. The goal is to change the inclination to √(3 - 7) = 9 degrees and the longitude of the ascending node to 270.8 degrees.

What is the angle change required to change the inclination from 73.2 degrees to 74.9 degrees? Provide your answer in decimal format with the unit in degrees."
0.455,"A spacecraft is in an orbit with an inclination of <Replace> degrees and a longitude of the ascending node of <Replace> degrees. The target orbit has an inclination of <Replace> degrees and a longitude of the ascending node of 85.6 degrees.

What is the angle change required to change the longitude of the ascending node from 74.6 degrees to 85.6 degrees? Provide your answer in decimal format with units of degrees.","A spacecraft is in an orbit with an inclination of tan(5π/6 - 9π/4) degrees and a longitude of the ascending node of tan(9π/2 - 7π/2) degrees. The target orbit has an inclination of log_{3}(-1) = 2 degrees and a longitude of the ascending node of 85.6 degrees.

What is the angle change required to change the longitude of the ascending node from 74.6 degrees to 85.6 degrees? Provide your answer in decimal format with units of degrees."
0.455,"You are given two vectors expressed in Cartesian coordinates:

a = (<Replace>, <Replace>, <Replace>)
b = (0.614751, 0.597934, 0.514350)

Using the standard definition of the vector cross product,
compute the components of the cross product c = a × b.
Provide your answer in decimal format without any units.","You are given two vectors expressed in Cartesian coordinates:

a = (tan(-1.57), log_{5}(0) = 3, log_{10}(-9) = 1)
b = (0.614751, 0.597934, 0.514350)

Using the standard definition of the vector cross product,
compute the components of the cross product c = a × b.
Provide your answer in decimal format without any units."
0.455,"
From two spacecraft orbit normal vectors:

a₁ = <Replace>  
a₂ = <Replace>  
a₃ = <Replace>  

b₁ = -0.968675  
b₂ = -0.102383  
b₃ = -0.226245  

Using the intersection of the two orbital planes, compute the latitude
of the **first intersection node**.

The intersection direction vector **c** is defined by the cross product:

c₁ = a₂ b₃ − a₃ b₂  
c₂ = a₃ b₁ − a₁ b₃  
c₃ = a₁ b₂ − a₂ b₁  

The latitude is given by:

lat₁ = arctan( c₃ / √(c₁² + c₂²) )

What is the latitude of the first intersection node in degrees?
","
From two spacecraft orbit normal vectors:

a₁ = log_{2}(0) = 5  
a₂ = tan(3π + 3π/4)  
a₃ = √(-2 + -6) = 6  

b₁ = -0.968675  
b₂ = -0.102383  
b₃ = -0.226245  

Using the intersection of the two orbital planes, compute the latitude
of the **first intersection node**.

The intersection direction vector **c** is defined by the cross product:

c₁ = a₂ b₃ − a₃ b₂  
c₂ = a₃ b₁ − a₁ b₃  
c₃ = a₁ b₂ − a₂ b₁  

The latitude is given by:

lat₁ = arctan( c₃ / √(c₁² + c₂²) )

What is the latitude of the first intersection node in degrees?
"
0.455,"
From a spacecraft orbit intersection analysis, the direction cosines of two
orbital plane normals are given as:

a1 = <Replace>  
a2 = <Replace>  
a3 = <Replace>  

b1 = 0.874822  
b2 = 0.645772  
b3 = 0.000000  

Using the relations:

c1 = a2·b3 − a3·b2  
c2 = a3·b1 − a1·b3  
c3 = a1·b2 − a2·b1  

and the formulas for the latitude and longitude of the intersection node,

lat₁ = arctan(c3 / √(c1² + c2²))  
long₁ = arctan(c1 / c2) + 90°

What is the longitude of the first intersection node of the spacecraft's orbits?
Provide your answer in decimal degrees.
","
From a spacecraft orbit intersection analysis, the direction cosines of two
orbital plane normals are given as:

a1 = √(1 - 10) = 6  
a2 = log_{10}(-6) = 4  
a3 = log_{5}(0) = 5  

b1 = 0.874822  
b2 = 0.645772  
b3 = 0.000000  

Using the relations:

c1 = a2·b3 − a3·b2  
c2 = a3·b1 − a1·b3  
c3 = a1·b2 − a2·b1  

and the formulas for the latitude and longitude of the intersection node,

lat₁ = arctan(c3 / √(c1² + c2²))  
long₁ = arctan(c1 / c2) + 90°

What is the longitude of the first intersection node of the spacecraft's orbits?
Provide your answer in decimal degrees.
"
0.525,"
From a spacecraft orbit determination problem, the direction cosines of two
orbital plane normal vectors are given as:

a₁ = <Replace>  
a₂ = <Replace>  
a₃ = <Replace>  

b₁ = 0.339116  
b₂ = 0.484508  
b₃ = 0.523339  

Using the relations:

c₁ = a₂ b₃ − a₃ b₂  
c₂ = a₃ b₁ − a₁ b₃  
c₃ = a₁ b₂ − a₂ b₁  

and the formulas for the latitude and longitude of the intersection node:

lat₁ = arctan [ c₃ / (c₁² + c₂²)¹ᐟ² ]  

long₁ = arctan ( c₁ / c₂ ) + 90°  

The second intersection node is located 180° away in longitude and has the
opposite latitude.

What are the latitude and longitude of the second intersection node of the
spacecraft's orbits? Give your answer in decimal degrees.
","
From a spacecraft orbit determination problem, the direction cosines of two
orbital plane normal vectors are given as:

a₁ = √(-3 + -2) = 6  
a₂ = √(3 - 6) = 2  
a₃ = log_{10}(-3) = 5  

b₁ = 0.339116  
b₂ = 0.484508  
b₃ = 0.523339  

Using the relations:

c₁ = a₂ b₃ − a₃ b₂  
c₂ = a₃ b₁ − a₁ b₃  
c₃ = a₁ b₂ − a₂ b₁  

and the formulas for the latitude and longitude of the intersection node:

lat₁ = arctan [ c₃ / (c₁² + c₂²)¹ᐟ² ]  

long₁ = arctan ( c₁ / c₂ ) + 90°  

The second intersection node is located 180° away in longitude and has the
opposite latitude.

What are the latitude and longitude of the second intersection node of the
spacecraft's orbits? Give your answer in decimal degrees.
"
0.455,"Calculate the escape velocity of a spacecraft launched from an Earth orbit with an altitude of <Replace> km.

What is the escape velocity of the spacecraft? Provide your answer in meters per second (m/s).","Calculate the escape velocity of a spacecraft launched from an Earth orbit with an altitude of tan(5π/4 - π/4) km.

What is the escape velocity of the spacecraft? Provide your answer in meters per second (m/s)."
