Difficulty,Test Ori Question,Test Ori Solution,Test Ori Final Answer,Image Lable,Image Name
0.525,"For an interplanetary transfer orbit, the eccentricity vector **e** has been computed from the spacecraft position and velocity vectors.

The components of the eccentricity vector are:

e_x = 0.164301
e_y = -0.141118
e_z = 0.009498

Calculate the magnitude of the eccentricity \( e \).

Provide your answer as a decimal number without any unit.","### Step 1: Write the formula for eccentricity magnitude

The magnitude of the eccentricity vector is given by:

\[
e = \sqrt{e_x^2 + e_y^2 + e_z^2}
\]

### Step 2: Substitute the given values

\[
e = \sqrt{(0.164301)^2 + (-0.141118)^2 + (0.009498)^2}
\]

### Step 3: Compute the squared terms

\[
e = \sqrt{0.026995 + 0.019914 + 0.000090}
\]

### Step 4: Take the square root

\[
e = 0.216793
\]
",0.216793,No,
0.455,"For a heliocentric transfer orbit, the specific angular momentum vector **h** has the following components (in m²/s):

h = (3.360e+15 X, 2.377e+15 Y, 4.894e+15 Z)

Calculate the orbital inclination *i* of the transfer orbit. Provide your answer in degrees.","### Step 1: Recall the inclination formula
The orbital inclination *i* is related to the angular momentum vector by:

\[
\cos i = \frac{h_z}{|\mathbf{h}|}
\]

where:
- \( h_z \) is the z-component of the angular momentum vector
- \( |\mathbf{h}| \) is the magnitude of the angular momentum vector

### Step 2: Compute the magnitude of the angular momentum vector
\[
|\mathbf{h}| = \sqrt{h_x^2 + h_y^2 + h_z^2}
\]

Substituting the given values:

\[
|\mathbf{h}| = \sqrt{(3.360e+15)^2 + (2.377e+15)^2 + (4.894e+15)^2}
= 6.395e+15 \; m^2/s
\]

### Step 3: Compute the inclination
\[
\cos i = \frac{4.894e+15}{6.395e+15} = 0.765288
\]

\[
i = \arccos(0.765288) = 40.0674^\circ
\]",The orbital inclination is i = 40.0674°.,No,
0.455,"
For a heliocentric transfer orbit, the spacecraft state vector at departure is given in
an inertial reference frame as:

Position vector:
r = (2.886e+10 X + 1.204e+11 Y + 9.054e+09 Z) m

Velocity vector:
v = (1.174e+04 X + -2.844e+04 Y + 5.424e+03 Z) m/s

Using classical orbital mechanics, calculate the right ascension of the ascending node
(Ω) of the orbit. Express your final answer in degrees.
","### Step 1: Compute the specific angular momentum vector

The specific angular momentum vector is given by the cross product:

\[
\mathbf{h} = \mathbf{r} \times \mathbf{v}
\]

Substituting the given components:

\[
h_x = r_y v_z - r_z v_y = 1.204e+11(5.424e+03) - 9.054e+09(-2.844e+04) = 9.107e+14
\]

\[
h_y = r_z v_x - r_x v_z = 9.054e+09(1.174e+04) - 2.886e+10(5.424e+03) = -5.030e+13
\]

\[
h_z = r_x v_y - r_y v_x = 2.886e+10(-2.844e+04) - 1.204e+11(1.174e+04) = -2.234e+15
\]

---

### Step 2: Compute the node vector

The node vector is defined as:

\[
\mathbf{n} = \mathbf{k} \times \mathbf{h} = (-h_y,\ h_x,\ 0)
\]

Thus,

\[
n_x = 5.030e+13, \quad n_y = 9.107e+14
\]

The magnitude of the node vector is:

\[
n = \sqrt{n_x^2 + n_y^2} = 9.121e+14
\]

---

### Step 3: Compute the right ascension of the ascending node

The right ascension of the ascending node Ω is given by:

\[
\cos \Omega = \frac{n_x}{n}
\]

Substituting values:

\[
\cos \Omega = \frac{5.030e+13}{9.121e+14} = 0.0551
\]

\[
\Omega = \arccos(0.0551) = 86.84^\circ
\]

Since \( n_y \ge 0 \), the angle lies in the first or second quadrant and no correction
is required.

---

### Final Result

\[
\boxed{\Omega = 86.84^\circ}
\]",Ω = 86.84 degrees,No,
0.525,"
For a heliocentric transfer orbit, the spacecraft position and velocity at departure are given.

Given:
r₁ = (7.172e+10 X + -6.015e+10 Y) m  
v₁ = (28093.3 X + 16531.1 Y + 858.8 Z) m/s  
Gravitational parameter:  
μ = 1.327e+20 m³/s²  

Calculate the argument of periapsis ω for the transfer orbit.
Provide your answer in degrees.
","### Step 1: Compute the magnitudes of position and velocity
\[
r = \sqrt{x^2 + y^2} = 9.361e+10 \, m
\]
\[
v = \sqrt{v_x^2 + v_y^2 + v_z^2} = 32607.472 \, m/s
\]

### Step 2: Compute the specific angular momentum vector
\[
\mathbf{h} = \mathbf{r} \times \mathbf{v}
\]
\[
\mathbf{h} = (-5.166e+13, -6.159e+13, 2.876e+15)
\]
\[
h = 2.877e+15
\]

### Step 3: Compute the node vector
\[
\mathbf{n} = \mathbf{k} \times \mathbf{h} = (6.159e+13, -5.166e+13, 0)
\]
\[
n = 8.039e+13
\]

### Step 4: Compute the eccentricity vector
\[
\mathbf{e} = \frac{1}{\mu} \left[ (v^2 - \frac{\mu}{r})\mathbf{r} - (\mathbf{r} \cdot \mathbf{v})\mathbf{v} \right]
\]
\[
\mathbf{e} = (-0.407590, 0.033586)
\]
\[
e = 0.408971
\]

### Step 5: Compute the argument of periapsis
\[
\cos \omega = \frac{\mathbf{n} \cdot \mathbf{e}}{ne}
\]
\[
\cos \omega = -0.816363
\]
\[
\omega = \arccos(-0.816363) = 144.722^\circ
\]",The argument of periapsis is ω = 144.722°.,No,
0.455,"
For a heliocentric transfer orbit, the following position and velocity
vectors are known at the departure point.

Given:

Position vector at departure:
r₁ = (-4.291185e+10 X + 1.330815e+11 Y) m

Magnitude of position vector at arrival:
r₂ = 1.447430e+11 m

Standard gravitational parameter of the Sun:
GM = 1.327124e+20 m³/s²

Velocity vector at departure:
v₁ = 33863.6 X + 12763.0 Y + 1414.7 Z m/s

Orbital elements obtained from prior calculations:
Longitude of ascending node Ω = 287.108°
Argument of perihelion ω = 169.830°

Tasks:
1. Compute the magnitude of the velocity vector at departure.
2. Using the given orbital elements, calculate the true anomaly ν.

Provide the true anomaly in degrees.
","**Step 1: Compute the magnitude of the velocity vector**

The magnitude of the velocity vector is given by:

\[
v = \sqrt{v_x^2 + v_y^2 + v_z^2}
\]

Substitute the given values:

\[
v = \sqrt{(33863.6)^2 + (12763.0)^2 + (1414.7)^2}
\]

\[
v = 36216.54 \; \text{m/s}
\]

---

**Step 2: Compute the true anomaly**

For this transfer orbit, the true anomaly at the given point is found by
summing the longitude of the ascending node (Ω) and the argument of
perihelion (ω):

\[
\nu = \Omega + \omega
\]

Substitute the numerical values:

\[
\nu = 287.108^\circ + 169.830^\circ
\]

\[
\nu = 96.938^\circ
\]

---

**Result:**

The true anomaly of the transfer orbit at the specified point is
\( \nu = 96.938^\circ \).",The true anomaly is ν = 96.938°.,No,
0.455,"For a spacecraft departing Earth, the following data is provided:

- Injection occurs from a 250 km circular parking orbit.
- Earth's heliocentric velocity vector at departure is 29599.7X + 15731.6Y m/s.
- The spacecraft's heliocentric velocity vector at departure is 32694.1X + 16868.9Y + 708.5Z m/s.

Calculate the following:
1. The hyperbolic excess velocity at departure. Provide your answer in meters per second with one decimal place.","### Step 1: Define the known quantities

Earth radius:
\[ R_E = 6378.14 \text{ km} \]

Parking orbit radius:
\[ r_0 = (R_E + h) = (6378.14 + 250) = 6628.14 \text{ km} \]

Earth's heliocentric velocity vector:
\[ \vec{V}_E = 29599.7X + 15731.6Y \text{ m/s} \]

Spacecraft heliocentric velocity vector:
\[ \vec{V}_S = 32694.1X + 16868.9Y + 708.5Z \text{ m/s} \]

### Step 2: Compute the spacecraft velocity relative to Earth

The relative velocity is given by:
\[ \vec{V}_{S/E} = \vec{V}_S - \vec{V}_E \]

Substituting component-wise:
\[ \vec{V}_{S/E} = (32694.1 - 29599.7)X + (16868.9 - 15731.6)Y + (708.5 - 0)Z \]

\[ \vec{V}_{S/E} = 3094.4X + 1137.3Y + 708.5Z \text{ m/s} \]

### Step 3: Compute the magnitude of the hyperbolic excess velocity

The hyperbolic excess velocity is the magnitude of the relative velocity:
\[ V_\infty = \sqrt{V_x^2 + V_y^2 + V_z^2} \]

Substituting values:
\[ V_\infty = \sqrt{(3094.4)^2 + (1137.3)^2 + (708.5)^2} \]

\[ V_\infty = 3372.1 \text{ m/s} \]
",The hyperbolic excess velocity at departure is 3372.1 m/s.,No,
0.595,"For a spacecraft departing Earth, the following data are provided:
- Parking orbit altitude: 288.9 km above Earth's surface
- Earth's gravitational parameter: μ = 3.986005e+14 m³/s²
- Earth's velocity vector at departure: 25785.0X + 19072.0Y m/s
- Spacecraft velocity vector after injection: 27414.0X + 22871.2Y + 1433.7Z m/s

Calculate the required injection ΔV. Provide your answer in meters per second (m/s), rounded to one decimal place.","### Step 1: Compute the radius of the parking orbit
\[ r_0 = R_\oplus + h = 6378140 + 288876 = 6667016 \text{ m} \]

### Step 2: Compute the magnitude of Earth's velocity vector
\[
V_\oplus = \sqrt{(25785.0)^2 + (19072.0)^2} = 32071.9 \text{ m/s}
\]

### Step 3: Compute the magnitude of the spacecraft velocity vector
\[
V_{sc} = \sqrt{(27414.0)^2 + (22871.2)^2 + (1433.7)^2} = 35730.6 \text{ m/s}
\]

### Step 4: Compute the hyperbolic excess velocity
\[
V_\infty = |V_{sc} - V_\oplus| = |35730.6 - 32071.9| = 3658.7 \text{ m/s}
\]

### Step 5: Compute the circular velocity at the parking orbit
\[
V_c = \sqrt{\mu / r_0} = \sqrt{3.986005e+14 / 6667016} = 7732.2 \text{ m/s}
\]

### Step 6: Compute the injection ΔV
\[
\Delta V = V_\infty - V_c = 3658.7 - 7732.2 = -4073.5 \text{ m/s}
\]",ΔV = -4073.5 m/s,No,
0.455,"For a spacecraft departing Earth from a circular parking orbit, the following data are given:

- Spacecraft position vector at departure (ECI frame):
  r = (6670.0 X + -1180.4 Y + -1180.2 Z) km
- Spacecraft velocity vector at departure (ECI frame):
  v = (8.3 X + 2.1 Y + -0.3 Z) km/s

Assuming the local zenith direction is aligned with the radial position vector, calculate the zenith angle of the departure asymptote.

Provide your answer in degrees to three decimal places.","### Step 1: Compute the magnitudes of the position and velocity vectors

\[
|r| = \sqrt{r_x^2 + r_y^2 + r_z^2}
\]
\[
|r| = \sqrt{(6670.0)^2 + (-1180.4)^2 + (-1180.2)^2} = 6875.659\;\text{km}
\]

\[
|v| = \sqrt{v_x^2 + v_y^2 + v_z^2}
\]
\[
|v| = \sqrt{(8.3)^2 + (2.1)^2 + (-0.3)^2} = 8.541\;\text{km/s}
\]

### Step 2: Compute the dot product of the position and velocity vectors

\[
r \cdot v = r_x v_x + r_y v_y + r_z v_z
\]
\[
r \cdot v = (6670.0)(8.3) + (-1180.4)(2.1) + (-1180.2)(-0.3) = 53017.441
\]

### Step 3: Compute the zenith angle

The zenith angle \( \gamma \) is defined as the angle between the velocity vector and the local zenith (radial) direction:

\[
\gamma = \cos^{-1}\left( \frac{r \cdot v}{|r||v|} \right)
\]
\[
\gamma = \cos^{-1}\left( \frac{53017.441}{(6875.659)(8.541)} \right)
\]

\[
\gamma = 25.471^\circ
\]",25.471°,No,
0.455,"For a spacecraft approaching a planet, the inertial velocity vectors at the time of intercept are given below.

Spacecraft velocity vector:
  V_s = -22344.5X + 5298.6Y + -221.0Z m/s

Planet velocity vector at intercept:
  V_p = -25852.5X + 3982.1Y + 499.5Z m/s

Calculate the hyperbolic excess velocity, V_∞, of the spacecraft with respect to the planet. Provide your answer in meters per second (m/s).","### Step 1: Compute the spacecraft velocity relative to the planet

The hyperbolic excess velocity is the magnitude of the spacecraft's velocity relative to the planet:

\[
\vec{V}_{s/p} = \vec{V}_s - \vec{V}_p
\]

Substituting the given values:

\[
\vec{V}_{s/p} = (-22344.5 - -25852.5)X + (5298.6 - 3982.1)Y + (-221.0 - 499.5)Z
\]

\[
\vec{V}_{s/p} = 3508.1X + 1316.5Y + -720.4Z \; \text{m/s}
\]

### Step 2: Compute the magnitude of the relative velocity

The magnitude of the relative velocity vector is given by:

\[
V_{\infty} = \sqrt{V_x^2 + V_y^2 + V_z^2}
\]

Substituting the relative velocity components:

\[
V_{\infty} = \sqrt{(3508.1)^2 + (1316.5)^2 + (-720.4)^2}
\]

\[
V_{\infty} = 3815.6 \; \text{m/s}
\]
",The hyperbolic excess velocity is V_∞ = 3815.6 m/s.,No,
0.455,"For a spacecraft performing a hyperbolic approach to a planet, the miss distance at arrival is 14232.9 km. The angle between the incoming asymptote and the miss-distance direction is 97.812 degrees.

Assuming a planar approach, calculate the impact parameter (b) of the spacecraft's trajectory. Provide your answer in kilometers (km).","### Step 1: Recall the definition of the impact parameter
For a hyperbolic approach trajectory, the impact parameter `b` is related to the miss distance `d` and the approach angle `θ` by:

\[
b = d \sin(\theta)
\]

### Step 2: Substitute the given values
- Miss distance: \( d = 14232.9 \, \text{km} \)
- Approach angle: \( \theta = 97.812^\circ \)

Substituting into the equation:

\[
b = 14232.9 \times \sin(97.812^\circ)
\]

### Step 3: Compute the result
\[
b = 14100.83 \, \text{km}
\]
",The impact parameter is **14100.83 km**.,No,
0.525,"For a spacecraft performing a hyperbolic approach to Jupiter, a miss distance of +18,794 km is predicted at arrival. The hyperbolic excess velocity relative to Jupiter is 1901.4 m/s.

Given the gravitational parameter of Jupiter, GM = 9.458e+15 m³/s², determine the semi-major axis (a) of the hyperbolic approach trajectory.

Provide the value of the semi-major axis in kilometers.","### Step 1: Identify the governing equation
For a hyperbolic trajectory, the semi-major axis is related to the hyperbolic excess velocity by:

\[
a = -\frac{GM}{V_{\infty}^2}
\]

The negative sign indicates that the trajectory is hyperbolic.

### Step 2: Substitute known values
\[
GM = 9.458e+15 \; \text{m}^3/\text{s}^2
\]
\[
V_{\infty} = 1901.4 \; \text{m/s}
\]

Substituting into the equation:

\[
a = -\frac{9.458e+15}{(1901.4)^2}
\]

### Step 3: Compute the result
\[
a = -2.616e+09 \; \text{m}
\]

### Step 4: Convert to kilometers
\[
a = -2616142.0 \; \text{km}
\]
",The semi-major axis of the hyperbolic approach trajectory is -2616142.0 km.,No,
0.455,"A spacecraft is approaching a planet on a hyperbolic trajectory. Analysis of the approach geometry provides the following parameters:

- Impact parameter, b = 9982.6 km
- Semi-major axis of the hyperbola, a = -9878.9 km

Assuming a purely two-body hyperbolic approach, calculate the eccentricity (e) of the hyperbolic trajectory.

Provide the eccentricity value as a standard numeric expression without any scientific notation or multipliers.","### Step-by-Step Solution

For a hyperbolic trajectory, the eccentricity is related to the impact parameter and semi-major axis by the formula:

\[
e = \sqrt{1 + \frac{b^2}{a^2}}
\]

where:
- \( b \) is the impact parameter
- \( a \) is the semi-major axis (negative for a hyperbola)

#### Step 1: Substitute the given values

\[
e = \sqrt{1 + \frac{(9982.6)^2}{(-9878.9)^2}}
\]

#### Step 2: Compute the squared terms

\[
e = \sqrt{1 + \frac{99653022.4}{97592872.2}}
\]

#### Step 3: Evaluate the expression

\[
e = 1.4217
\]

This value is greater than 1, confirming that the trajectory is hyperbolic.",1.4217,No,
0.525,"As a spacecraft approaches Saturn, it has a velocity of 13748.7 m/s and a flight path angle of 16.46 degrees measured from the horizontal.

At the same instant, Saturn itself is moving with a velocity of 13827.0 m/s at a flight path angle of 9.99 degrees.

Assuming both angles are measured from the same x-axis, what is the x-component (horizontal component) of the spacecraft's initial velocity *relative to Saturn*?

Provide your answer in meters per second (m/s).","### Step 1: Write the formula for the x-component of velocity

For any velocity vector \( V \) with flight path angle \( \phi \), the x-component is given by:

\[
V_x = V \cos(\phi)
\]

### Step 2: Compute the spacecraft's x-component

\[
V_{px} = 13748.7 \cos(16.46^\circ)
\]

\[
V_{px} = 13748.7 \times 0.9590
\]

\[
V_{px} \approx 13185.22 \text{ m/s}
\]

### Step 3: Compute the planet's x-component

\[
V_{jx} = 13827.0 \cos(9.99^\circ)
\]

\[
V_{jx} = 13827.0 \times 0.9848
\]

\[
V_{jx} \approx 13617.19 \text{ m/s}
\]

### Step 4: Compute the relative x-component of velocity

The x-component of the spacecraft's velocity relative to the planet is:

\[
V_{x,rel} = V_{px} - V_{jx}
\]

\[
V_{x,rel} = 13185.22 - 13617.19
\]

\[
V_{x,rel} \approx -431.97 \text{ m/s}
\]",-431.97 m/s,No,
0.525,"As a spacecraft approaches a giant planet, it has a velocity of 8,757 m/s and a flight path angle of 58.3 degrees. The targeted miss distance is -3,771,787 km.

At the intercept point, the planet has a velocity of 9,083 m/s with a flight path angle of 3.92 degrees.

What is the **y-component (vertical component)** of the spacecraft’s initial velocity **relative to the planet**? Provide your answer in meters per second (m/s).","### Step 1: Identify the given quantities
- Spacecraft speed: $V_s = 8,757\ \text{m/s}$
- Spacecraft flight path angle: $\phi_s = 58.3^\circ$
- Planet speed: $V_p = 9,083\ \text{m/s}$
- Planet flight path angle: $\phi_p = 3.92^\circ$

### Step 2: Write the formula for the y-component of velocity
The vertical (y) component of a velocity vector is given by:
\[
V_y = V \sin(\phi)
\]

### Step 3: Compute the spacecraft y-component
\[
V_{s,y} = 8,757 \sin(58.3^\circ)
\]
\[
V_{s,y} \approx 7,450.45\ \text{m/s}
\]

### Step 4: Compute the planet y-component
\[
V_{p,y} = 9,083 \sin(3.92^\circ)
\]
\[
V_{p,y} \approx 621.64\ \text{m/s}
\]

### Step 5: Compute the relative y-component of velocity
The spacecraft’s velocity relative to the planet is the vector difference:
\[
V_{rel,y} = V_{s,y} - V_{p,y}
\]
\[
V_{rel,y} = 7,450.45 - 621.64
\]
\[
V_{rel,y} \approx 6,828.81\ \text{m/s}
\]","6,828.81 m/s",No,
0.525,"As a spacecraft approaches a planet, it has a heliocentric velocity of 14491.8 m/s at a flight path angle of 41.9°. The planet moves with a heliocentric velocity of 13424.9 m/s at a flight path angle of 6.5°. During the swing-by, the spacecraft's planet-relative velocity is deflected by 59.8°.

Using velocity transformation equations, determine the spacecraft's heliocentric velocity after the swing-by.","### Step 1: Resolve the initial heliocentric velocities into components
The spacecraft's incoming velocity components are:

\[
v_{sc,x} = v_{sc} \cos(\gamma_{sc}) = 14491.8 \cos(41.9°)
\]
\[
v_{sc,y} = v_{sc} \sin(\gamma_{sc}) = 14491.8 \sin(41.9°)
\]

The planet's heliocentric velocity components are:

\[
v_{p,x} = 13424.9 \cos(6.5°), \quad v_{p,y} = 13424.9 \sin(6.5°)
\]

### Step 2: Transform to the planet-centered frame
Subtract the planet's velocity from the spacecraft's velocity:

\[
v_{rel,x,in} = v_{sc,x} - v_{p,x} = -2547.44\,\text{m/s}
\]
\[
v_{rel,y,in} = v_{sc,y} - v_{p,y} = 8150.31\,\text{m/s}
\]

### Step 3: Apply the swing-by deflection
The relative velocity is rotated by the turn angle using a 2D rotation matrix:

\[
\begin{bmatrix} v_{rel,x,out} \\ v_{rel,y,out} \end{bmatrix} = \begin{bmatrix} \cos\delta & -\sin\delta \\ \sin\delta & \cos\delta \end{bmatrix}\begin{bmatrix} v_{rel,x,in} \\ v_{rel,y,in} \end{bmatrix}
\]

With \( \delta = 59.8° \), this gives:

\[
v_{rel,x,out} = -8326.86\,\text{m/s}, v_{rel,y,out} = 1892.18\,\text{m/s}
\]

### Step 4: Transform back to the heliocentric frame
Add the planet's velocity back to obtain the outgoing spacecraft velocity:

\[
v_{sc,x,out} = 5011.40\,\text{m/s}, v_{sc,y,out} = 3415.07\,\text{m/s}
\]

### Step 5: Compute the magnitude and flight path angle
\[
v_{out} = \sqrt{v_{sc,x,out}^2 + v_{sc,y,out}^2} = 6064.39\,\text{m/s}
\]
\[
\gamma_{out} = \tan^{-1}\left(\frac{v_{sc,y,out}}{v_{sc,x,out}}\right) = 34.27°
\]
","After the swing-by, the spacecraft's heliocentric velocity is 6064.39 m/s with a flight path angle of 34.27°.",No,
0.455,"As a spacecraft approaches a giant planet during a gravity-assist maneuver, it has an incoming velocity of 10061.1 m/s with a flight path angle of 23.50 degrees and a targeted miss distance of -1,851,982 km. At intercept, the planet's velocity is 10566.4 m/s with a flight path angle of 1.39 degrees.

After the encounter, the spacecraft's velocity components in the planet-centered frame are measured as:
- x-component: -6832.7 m/s
- y-component: 7283.0 m/s

How is the resultant velocity of the spacecraft calculated using the Pythagorean theorem? Provide the answer in meters per second (m/s).","### Step-by-Step Solution

The resultant velocity magnitude is obtained from the orthogonal velocity components using the Pythagorean theorem.

**Step 1: Write the formula**

\[
V = \sqrt{V_x^2 + V_y^2}
\]

**Step 2: Substitute the given values**

\[
V = \sqrt{(-6832.7)^2 + (7283.0)^2}
\]

**Step 3: Compute the result**

\[
V = 9986.35 \text{ m/s}
\]
",9986.35 m/s,No,
0.525,"As a spacecraft approaches a giant planet, it has an initial velocity of 8606.7 m/s at a flight path angle of 46.60°. The targeted miss distance is -2,570,868 km. At the intercept point, the planet has a velocity of 11289.9 m/s with a flight path angle of 3.04°.

Using trigonometric relationships and vector addition, how is the final velocity of the spacecraft calculated? Compute the final velocity magnitude in meters per second (m/s).","### Step-by-Step Solution

**1. Convert flight path angles from degrees to radians**

\[
\gamma_{sc} = 46.60^\circ = 0.8133 \text{ rad}
\]
\[
\gamma_{pl} = 3.04^\circ = 0.0531 \text{ rad}
\]

**2. Resolve the spacecraft velocity into x- and y-components**

\[
V_{sc,x} = V_{sc} \cos(\gamma_{sc}) = 8606.7 \cos(0.8133) = 5913.80 \, \text{m/s}
\]
\[
V_{sc,y} = V_{sc} \sin(\gamma_{sc}) = 8606.7 \sin(0.8133) = 6253.24 \, \text{m/s}
\]

**3. Resolve the planet velocity into x- and y-components**

\[
V_{pl,x} = V_{pl} \cos(\gamma_{pl}) = 11289.9 \cos(0.0531) = 11273.96 \, \text{m/s}
\]
\[
V_{pl,y} = V_{pl} \sin(\gamma_{pl}) = 11289.9 \sin(0.0531) = 598.99 \, \text{m/s}
\]

**4. Add the velocity components to obtain the final velocity vector**

\[
V_{f,x} = V_{sc,x} + V_{pl,x} = 17187.76 \, \text{m/s}
\]
\[
V_{f,y} = V_{sc,y} + V_{pl,y} = 6852.23 \, \text{m/s}
\]

**5. Compute the magnitude of the final velocity**

\[
V_f = \sqrt{V_{f,x}^2 + V_{f,y}^2} = \sqrt{(17187.76)^2 + (6852.23)^2} = 18503.30 \, \text{m/s}
\]
",The final velocity of the spacecraft is 18503.30 m/s.,No,
0.525,"As a spacecraft approaches a giant planet, it has a velocity of 8426.5 m/s with a flight path angle of 44.01 degrees and a targeted miss distance of -1,031,039 km.

At the time of intercept, the planet’s velocity is 12747.4 m/s with a flight path angle of 2.48 degrees.

Assuming a simplified swing-by model using relative velocity vectors, what is the spacecraft’s flight path angle after the swing-by? Provide your answer in degrees.","### Step 1: Resolve the spacecraft velocity into components
\[
v_{sc,x} = 8426.5 \cos(44.01^\circ)
= 6060.1 \text{ m/s}
\]
\[
v_{sc,y} = 8426.5 \sin(44.01^\circ)
= 5855.0 \text{ m/s}
\]

### Step 2: Resolve the planet velocity into components
\[
v_{pl,x} = 12747.4 \cos(2.48^\circ)
= 12735.4 \text{ m/s}
\]
\[
v_{pl,y} = 12747.4 \sin(2.48^\circ)
= 552.4 \text{ m/s}
\]

### Step 3: Compute the relative velocity components after the swing-by
\[
v_{rel,x} = v_{sc,x} - v_{pl,x} = -6675.3 \text{ m/s}
\]
\[
v_{rel,y} = v_{sc,y} - v_{pl,y} = 5302.6 \text{ m/s}
\]

### Step 4: Determine the flight path angle after the swing-by
\[
\theta = \arctan\left(\frac{v_{rel,y}}{v_{rel,x}}\right)
\]
\[
\theta = \arctan\left(\frac{5302.6}{-6675.3}\right)
= 141.54^\circ
\]
",The spacecraft’s flight path angle after the swing-by is 141.54°.,No,
0.525,"A satellite is in distress in a circular, Earth-centered orbit at an altitude of 206.1 km above the Earth's surface. A rescue vehicle is in a co-planar circular orbit at an altitude of 448.5 km. The rescue vehicle is 125.6° behind the target satellite along the orbit.

What is the radius of the target satellite's orbit? Provide your answer in kilometers (km).","### Step-by-Step Solution

1. **Identify the given quantities**:
   - Earth's mean radius: $R_\oplus = 6378.0\,\text{km}$
   - Altitude of the target satellite above Earth's surface: $h = 206.1\,\text{km}$

2. **Recall the formula for the radius of a circular orbit**:

   The radius of an Earth-centered circular orbit is the sum of the Earth's radius and the satellite's altitude:

   \[
   R_{\text{orbit}} = R_\oplus + h
   \]

3. **Substitute the given values into the formula**:

   \[
   R_{\text{orbit}} = 6378.0\,\text{km} + 206.1\,\text{km}
   \]

4. **Compute the result**:

   \[
   R_{\text{orbit}} = 6584.1\,\text{km}
   \]

The relative phase angle and the rescue vehicle's altitude are not required for this specific calculation.",6584.1 km,No,
0.525,"A satellite is in distress in a circular orbit at an altitude of 652.0 km above the Earth's surface. A rescue vehicle (interceptor) is in a co-planar circular orbit at an altitude of 179.2 km. The rescue vehicle is 42.9° behind the target satellite along the orbit.

What is the radius of the interceptor orbit? Provide your answer in kilometers.","### Step 1: Understand the definition of orbital radius
The radius of a circular orbit is measured from the center of the Earth, not from the surface.
It is given by the sum of the Earth's radius and the altitude of the orbiting object.

### Step 2: Write the formula
\[
R_{\text{interceptor}} = R_{\oplus} + h_{\text{interceptor}}
\]

where:
- \(R_{\oplus} = 6372.6\,\text{km}\) is the Earth's radius
- \(h_{\text{interceptor}} = 179.2\,\text{km}\) is the interceptor's altitude

### Step 3: Substitute the given values
\[
R_{\text{interceptor}} = 6372.6 + 179.2
\]

### Step 4: Compute the result
\[
R_{\text{interceptor}} = 6551.8\,\text{km}
\]

Note: The phase angle and the target satellite's altitude do not affect the calculation of the interceptor's orbital radius for this question.",6551.8 km,No,
0.455,"A satellite is in distress in a circular, co-planar Earth orbit at an altitude of 730.7 km above the Earth's surface. A rescue vehicle is in a circular, co-planar orbit at an altitude of 541.7 km. The rescue vehicle is 37.4° behind the target satellite along the orbit.

Assuming a Hohmann transfer is used, determine the semi-major axis of the transfer orbit. Provide your answer in kilometers.","### Step 1: Identify the given data
- Earth's mean radius: $R_E = 6378.0\,\text{km}$
- Target orbit altitude: $h_t = 730.7\,\text{km}$
- Chaser orbit altitude: $h_c = 541.7\,\text{km}$

### Step 2: Compute the orbital radii
The orbital radius is the sum of Earth's radius and the orbital altitude:

\[
r_t = R_E + h_t = 6378.0 + 730.7 = 7108.7\,\text{km}
\]
\[
r_c = R_E + h_c = 6378.0 + 541.7 = 6919.7\,\text{km}
\]

### Step 3: Determine the semi-major axis of the transfer orbit
For a Hohmann transfer between two circular orbits, the semi-major axis of the transfer orbit is the average of the initial and final orbital radii:

\[
a_t = \frac{r_t + r_c}{2}
\]

Substituting the values:

\[
a_t = \frac{7108.7 + 6919.7}{2} = 7014.2\,\text{km}
\]
",The semi-major axis of the transfer orbit is 7014.2 km.,No,
0.525,"A satellite is in distress in a circular, co-planar orbit at an altitude of 258.1 km above Earth. A rescue vehicle is in a circular, co-planar orbit at an altitude of 248.6 km. The rescue vehicle is initially 96.1° behind the target.

Assuming a Hohmann transfer maneuver, determine the time of flight for the transfer. Provide your answer in minutes.","### Step 1: Define known constants and parameters
- Earth radius: $R_E = 6378.0\,\text{km}$
- Earth's gravitational parameter: $\mu = 3.986e+05\,\text{km}^3/\text{s}^2$

### Step 2: Compute orbital radii
The orbital radius is the sum of Earth’s radius and the altitude:

\[
r_1 = R_E + h_\text{rescue} = 6378.0 + 248.6 = 6626.6\,\text{km}
\]
\[
r_2 = R_E + h_\text{target} = 6378.0 + 258.1 = 6636.1\,\text{km}
\]

### Step 3: Determine the semi-major axis of the transfer orbit
For a Hohmann transfer, the semi-major axis is the average of the two orbital radii:

\[
a_t = \frac{r_1 + r_2}{2} = \frac{6626.6 + 6636.1}{2} = 6631.4\,\text{km}
\]

### Step 4: Compute the time of flight
The time of flight for a Hohmann transfer is half the period of the elliptical transfer orbit:

\[
\text{TOF} = \pi \sqrt{\frac{a_t^3}{\mu}}
\]

Substituting numerical values:

\[
\text{TOF} = \pi \sqrt{\frac{(6631.4)^3}{3.986e+05}} = 2687.11\,\text{s}
\]

### Step 5: Convert seconds to minutes
\[
\text{TOF} = \frac{2687.11}{60} = 44.79\,\text{min}
\]

Note: The given phase angle affects rendezvous timing and phasing strategy, but the Hohmann transfer time of flight depends only on the transfer orbit geometry.",Time of flight for the maneuver: **44.79 minutes**.,No,
