Difficulty,Test Ori Question,Test Ori Final Answer
0.525,"A spacecraft is performing a hyperbolic flyby of a planet. The trajectory has a hyperbolic eccentricity of e = 6.5984.

Assuming a two-body approximation, calculate the turning angle of the spacecraft.

Provide the answer in decimal format with the unit in degrees.",17.4336 degrees
0.455,"A spacecraft is performing a hyperbolic flyby of a planet. The trajectory has an eccentricity of e = 2.7409. 

Using the standard hyperbolic orbit relations, calculate the probe's angle η. Provide your answer in decimal format with degrees as the unit.",η = 111.398°
0.525,"A space probe is performing a hyperbolic flyby of Mars. When the probe is at a distance of 142,504 km from the planet’s center, its velocity relative to the planet is 12,882.1 m/s. The flight path angle at this point is -86.66 degrees. Assuming the hyperbolic trajectory has an eccentricity of 2.813, calculate the probe’s true anomaly. Give your answer in decimal degrees.",The probe’s true anomaly is approximately -107.447°.
0.455,"A space probe is performing a hyperbolic flyby of Venus. The hyperbolic trajectory has a semi-major axis of 1,028,696.8 km (negative by convention for a hyperbola) and a total turning angle of 63.13 degrees.

Calculate the probe's impact parameter.
Provide your answer in kilometers, rounded to two decimal places.",631991.85 km
0.455,"A spacecraft is performing a hyperbolic flyby of a planet. The trajectory is characterized by a semi-major axis of -10755.8 km and an eccentricity of 2.8246.

Assuming a hyperbolic orbit, calculate the periapsis radius of the trajectory. Provide your answer in kilometers with one decimal place.",19624.8 km
0.455,"A spacecraft is traveling on a hyperbolic flyby trajectory past a planet. The trajectory is characterized by a semi-major axis of -43040.5 km and an eccentricity of 2.7448.

Calculate the orbital parameter p for this trajectory. Provide your answer in kilometers as a standard numeric expression.","281,219.8 km"
0.35,"A space probe is traveling along a conic-section trajectory. At a certain point in its motion, the probe has the following orbital parameters:

- Semi-major axis, a = -1,255,543 m
- Eccentricity, e = 2.9068
- True anomaly, ν = 51.7°

Calculate the radius vector of the space probe at this true anomaly. Provide your answer in meters (m) using standard numeric format.","3,340,709 m"
0.525,"A space probe is traveling along a conic-section orbit. At a certain point, the probe has the following orbital parameters:

- Semi-major axis, a = -2,973,185 m
- Eccentricity, e = 4.4877
- True anomaly, ν = 63.0°

Calculate the flight path angle of the space probe at this true anomaly. Provide your answer in degrees.",The flight path angle of the space probe is 52.808°.
0.455,"A space probe is traveling along a hyperbolic trajectory and has reached a true anomaly of 111.6 degrees.

Given the following orbital parameters:
- Semi-major axis, a = -1,287,404 m
- Eccentricity, e = 4.1017
- True anomaly, ν = 111.6°

Calculate the magnitude of the velocity of the space probe at this point in its trajectory. Provide your answer in meters per second (m/s).","5,951.7 m/s"
0.455,"A spacecraft is launched from Earth on a hyperbolic trajectory with a semi-major axis of -27,451 km and an eccentricity of 1.3633.

How long does it take to move from a true anomaly of 40.7 degrees to a true anomaly of 112.8 degrees? Provide the answer in decimal format with the unit of time in hours.",2.005 hours
0.35,"A spacecraft is launched from Earth and achieves a burnout velocity of 12,021 m/s at a certain altitude above the surface.

Given that the local escape velocity at this altitude is 11,145 m/s, determine the spacecraft's hyperbolic excess velocity.

Provide your answer in meters per second (m/s) as a standard numeric expression.","4,506 m/s"
0.525,"From the given astronomical constants:

\[
D = 200,842,243 \, \text{km}
\]
\[
M_p = 7.518e+24 \, \text{kg}
\]
\[
M_s = 2.181e+30 \, \text{kg}
\]

The radius of a planet’s sphere of influence is given by:

\[
R = D \times \left(\frac{M_p}{M_s}\right)^{0.4}
\]

Calculate the radius of the planet’s sphere of influence. Provide your answer in kilometers.","The radius of the planet’s sphere of influence is approximately 1,311,696 km."
0.525,"Using a one-tangent burn, calculate the change in true anomaly and the time-of-flight for a transfer between two planets. The radius vector of the departure planet at departure is 0.956 AU, and the semi-major axis of the transfer orbit is 1.172 AU.

How do you calculate the eccentricity of the transfer orbit given the radius vector at departure and the semi-major axis of the transfer orbit? Provide the eccentricity of the transfer orbit as a decimal number without any unit.",0.1843
0.525,"In an interplanetary transfer analysis, the true anomaly of a spacecraft on an elliptical orbit is given as 129.878 degrees. The eccentricity of the orbit is 0.303742.

Using the standard orbital mechanics relationship, determine the eccentric anomaly in radians.",The eccentric anomaly corresponding to the given true anomaly is **2.003148 radians**.
0.525,"Using a one-tangent burn, calculate the change in true anomaly and the time-of-flight for a transfer from Earth to Mars. The radius vector of Earth at departure is 1.003 AU and that of Mars at arrival is 1.576 AU. The semi-major axis of the transfer orbit is 1.273 AU.

How do you convert the semi-major axis from astronomical units (AU) to meters? Please provide the answer in standard numeric expression with the unit in meters.",1.904408e+11 m
0.525,"Using a one-tangent heliocentric transfer orbit, a spacecraft travels between two planetary orbits.

The transfer orbit has the following parameters:
- Semi-major axis: a = 1.600 AU
- Eccentricity: e = 0.3037
- Eccentric anomaly at arrival: E = 2.5813 rad

Using Kepler’s equation, calculate the time-of-flight (TOF) for this transfer.
Assume the Sun’s gravitational parameter is:
\( \mu = 1.327124 \times 10^{20} \, \mathrm{m^3/s^2} \).","The time-of-flight for the transfer is approximately 2.460e+07 seconds, or 284.69 days."
0.595,"Using a one-tangent burn transfer, calculate the change in true anomaly and the time-of-flight (TOF)
for a transfer between two heliocentric radius vectors.

Given:
  • Departure radius vector: r₁ = 0.997 AU
  • Arrival radius vector:   r₂ = 1.880 AU
  • Transfer semi-major axis: a = 2.249 AU

Assume the departure point is at periapsis of the transfer ellipse (one-tangent condition).
Use μ☉ = 1.32712440018×10¹¹ km³/s² and 1 AU = 149,597,870.7 km.

How do you convert the time-of-flight from seconds to days? Provide the time-of-flight in days.","TOF = 12,537,412.298 s = 145.11 days"
0.525,"For an interplanetary transfer orbit, the following data is provided:
- The angular velocity of the target planet is \( \omega_t = 0.6754^\circ/\text{day} \).
- The difference in true anomalies is \( V_2 - V_1 = 164.862^\circ \).
- The time of flight is \( t_2 - t_1 = 150.67 \text{ days} \).

Calculate the departure phase angle for the transfer orbit. Provide your answer in degrees.",The departure phase angle is \( \gamma_1 = 63.09^\circ \).
0.525,"A spacecraft departs Earth on a specified launch date. At the moment of departure, Earth's heliocentric position vector is given by:

\[
\vec{r}_1 = 1.011672X - 0.509826Y \; \text{AU}
\]

What is the magnitude of the vector \( r_1 \)? Provide your answer in Astronomical Units (AU).",1.132873 AU
0.525,"A spacecraft is launched toward Mars on 2025-2-24 at 0:00 UT. The planned time of flight is 158 days. At the time of intercept, Mars' heliocentric position vector is given by:

r₂ = -0.446838X + 1.593577Y + -0.057117Z AU.

The Sun's gravitational parameter is GM = 1.327124e+20 m³/s².

What is the magnitude of the vector r₂? Provide your answer in Astronomical Units (AU).",1.656024 AU
0.455,"A spacecraft departs Earth on 2024-11-20 at 0:00 UT for a Mars transfer. The planned time of flight is 282 days.

The heliocentric position vector of Earth at departure is:
  r₁ = -0.525357 X + -0.165490 Y + -0.032070 Z AU

The heliocentric position vector of Mars at arrival is:
  r₂ = -1.414872 X + 0.220803 Y + -0.095092 Z AU

The gravitational parameter of the Sun is GM = 1.327124e+20 m³/s².

(a) Compute the geometric quantities k, ℓ, and m used in Lambert’s transfer formulation.
(b) Provide the value of k in Astronomical Units (AU).","k = 0.082007 AU,  ℓ = 1.986890 AU,  m = 1.501651 AU"
0.525,"An interplanetary spacecraft is traveling on a heliocentric transfer orbit.
From orbital geometry and Lambert problem analysis, the following parameters
have been computed for the transfer trajectory:

- Parameter k = 2.507497
- Parameter ℓ = 4.348066

The gravitational influence of the Sun is assumed dominant.

Using the standard relation for the transfer-orbit parameter p_i,
determine the value of p_i in Astronomical Units (AU).",0.3422141 AU
0.525,"A flight to Mars is launched on 2028-9-14, 0:00 UT. The planned time of flight is 268 days. Earth's heliocentric position vector at departure is -0.321682X + 0.670967Y AU. Mars' heliocentric position vector at intercept is -0.448720X + -0.384723Y + 0.073087Z AU. The semi-latus rectum of the transfer orbit is p = 1.775944 AU, and the change in true anomaly is Δν = 143.75°. 

How do you calculate the value of the f-function for this transfer orbit? Provide the value of f as a standard numeric expression without any unit.",0.394209
0.525,"A spacecraft is launched toward Mars on 2028-09-20 at 0:00 UT. The planned time of flight is 296 days.

At departure, the magnitude of Earth's heliocentric position vector is 1.064 AU. At intercept, the magnitude of Mars' heliocentric position vector is 1.425 AU. The change in true anomaly along the transfer orbit is 34.73 degrees.

The semi-latus rectum of the transfer orbit is p = 2.239e+11 m, and the Sun’s gravitational parameter is GM = 1.327e+20 m³/s².

How do you calculate the value of g for this transfer orbit? Provide the numerical value of g in meters per second squared (m/s²).",g = 3.548e+06 m/s²
0.35,"A spacecraft is assumed to travel on a heliocentric elliptical transfer orbit.

- The semi-major axis of the orbit is a = 1.928 AU.
- The orbital eccentricity is e = 0.299.
- At the time of planetary intercept, the spacecraft's heliocentric distance is r = 1.930 AU.

Assume the spacecraft departs from perihelion, so the initial eccentric anomaly is E₁ = 0.

How is the change in eccentric anomaly ΔE computed? Provide the final numerical value in radians.",ΔE = 1.575386 radians
0.455,"A spacecraft is launched from Earth toward Mars on 2024-12-08 at 00:00 UT. The planned time of flight is 219 days.

At departure, Earth's heliocentric position vector is:
  r_E = -0.830428 X + 0.486342 Y AU.

At intercept, Mars' heliocentric position vector is:
  r_M = 1.269739 X + -1.330052 Y + 0.049570 Z AU.

The Sun’s gravitational parameter is μ = 1.327e+20 m³/s².

How is the semi-major axis a of the transfer orbit initially calculated?",The semi-major axis of the transfer orbit is initially estimated as a = 1.400927 AU.
0.525,"A spacecraft departs Earth on 2026-02-05 at 00:00 UT for a transfer to Mars. The planned time of flight is 185.4 days.

The heliocentric position vector of Earth at departure is:
    r_E = -0.223047 X + -0.352177 Y  AU

The heliocentric position vector of Mars at arrival is:
    r_M = 0.402076 X + 0.140442 Y + -0.014703 Z  AU

The gravitational parameter of the Sun is:
    μ = 1.327e+20 m³/s²

Explain how the semi-major axis a of the heliocentric transfer orbit is refined so that the computed time of flight matches the planned value. Also state the time of flight in days.","The semi-major axis is refined iteratively until the computed time of flight matches the mission requirement. The final time of flight is:

**185.4 days**."
0.595,"A flight to Mars is launched on 2024-01-13, 0:00 UT. The planned time of flight is 256.4 days. Earth's heliocentric position vector at departure is -0.872604X + (0.434562)Y AU. Mars' heliocentric position vector at intercept is 1.481159X + -0.414898Y + 0.096781Z AU. The Sun's gravitational parameter is GM = 1.327124e+20 m^3/s^2.

Using an iterative refinement based on time of flight, what is the final value of the semi-major axis a of the transfer orbit? Provide the answer in Astronomical Units (AU).",1.253674 AU
0.525,"
For a heliocentric transfer orbit between two planets, the following parameters
are provided:

Position vector at departure:
r₁ = (-0.162059 X + 0.325186 Y + 0.036887 Z) AU

Position vector at arrival:
r₂ = (0.644306 X + -0.723040 Y + -0.020810 Z) AU

Additional orbital parameters:
Semi-major axis, a = 1.510068 AU  
True anomaly change, Δν = 112.027914°

Using standard orbital mechanics notation and assuming a two-body heliocentric
model, answer the following:

**What is the magnitude of the initial position vector r₁ in Astronomical Units (AU)?**
","The magnitude of the initial position vector is:

\[
|\mathbf{r}_1| = 0.365198 \; \text{AU}
\]"
0.525,"For a heliocentric transfer orbit, the following parameters are given:

r₂ = 1.716420
p = 0.960833
Δv = 144.266833°

The f-parameter is defined by the equation:

f = 1 − (r₂ / p) · (1 − cos Δv)

How is the parameter f calculated for this transfer orbit? Provide the answer in standard numeric format without any unit.",-2.23648
0.525,"
For a heliocentric transfer orbit between two planets, the following parameters are given:

- Initial radius: r₁ = 1.039766 AU  
- Final radius: r₂ = 1.318859 AU  
- Transfer angle: Δν = 69.219212°  
- Gravitational parameter: GM = 3.143396e-14 AU³/s²  

The Lagrange coefficient g is defined by the equation:

g = (r₁ · r₂ · sin Δν) / √(GM)

How is the parameter g calculated for this transfer orbit?
Provide the value of g as a standard numeric expression.
","g = 7,231,362.440250"
0.525,"
For a heliocentric transfer orbit, the following parameters are given:

r₁ = (-0.006309X + -0.262397Y) AU  
r₂ = (-0.541775X + -1.199299Y + -0.015619Z) AU  

|r₁| = 0.262473 AU  
|r₂| = 1.316086 AU  
Semi-major axis, a = 1.574891 AU  
Transfer angle, Δν = 155.093160 degrees  

The Lagrange coefficient equations are:

f = 1 − (r₂ / p)(1 − cosΔν)  
g = r₁ r₂ sinΔν / √(μp)  
v₁ = (r₂ − f r₁) / g  

How is the departure velocity vector v₁ calculated for this transfer orbit?
Provide the X-component of v₁ in meters per second (m/s).
","The X-component of the departure velocity vector is:

v₁ₓ = -147698805048105216.00 m/s"
0.525,"
For an interplanetary transfer orbit, the following parameters are given:

r₁ = 1.141245 AU  
r₂ = 1.424277 AU  
Semi-latus rectum, p = 1.189762 AU  
Gravitational parameter, GM = 2.959122e-04 AU³/day²  
True anomaly change, Δν = 119.747°

The relevant equations for the Lagrange coefficients are:

ḟ = √(GM / p) · tan(Δν / 2) · [ ((1 − cos Δν) / p) · (1/r₁ − 1/r₂) ]

ġ = 1 − (r₁ / p) · (1 − cos Δν)

What are the numerical values of ḟ and ġ used in the calculation of the
intercept velocity vector? Provide the value of ġ in standard numeric format.
","ḟ = 5.950841e-03
ġ = -0.435153"
0.525,"
For an interplanetary transfer orbit, the following parameters are given:

r₁ = (0.264728X + 0.608444Y + -0.088333Z) AU  
r₂ = (-0.230255X + -0.796985Y + 0.063306Z) AU  

|r₁| = 0.916752 AU  
|r₂| = 1.439973 AU  
a = 1.453934 AU  
Δν = 124.228487 degrees  

The Lagrange f and g functions are defined as:

f = 1 − (r₂ / p)(1 − cos Δν)  
g = (r₁ r₂ sin Δν) / √(μ p)  

The velocity vectors are computed as:

v₁ = (r₂ − f r₁) / g  
v₂ = (f r₁ + g v₁) / g  

Calculate the intercept velocity vector v₂.
","The intercept velocity vector is:

v₂ = (
-2.363761e-01 X,
-8.181725e-01 Y,
6.498886e-02 Z
) AU/time-unit"
0.525,"
For a heliocentric transfer orbit, the following parameters are given:

r₁ = -0.818674X + 0.566010Y + 0.000000Z AU  
r₂ = 1.081401X + 0.985112Y + -0.325165Z AU  

|r₁| = 0.995286 AU  
|r₂| = 1.498535 AU  
a = 1.246910 AU  
Δν = 159.410°

Using the Lagrange coefficient formulation, compute and simplify the
intercept velocity vector v₂ and express it in meters per second (m/s).
",v₂ = -96206454930.868 X + -475247290568.783 Y + 8517682607.447 Z m/s
0.455,"An interplanetary spacecraft is on a heliocentric transfer orbit. At a given instant, its position vector **r** and velocity vector **v** in an inertial Cartesian coordinate system are given as:

r = (8.887e+10 X + -7.671e+10 Y + -3.766e+08 Z) m

v = (28413.59 X + 19378.32 Y + 1496.43 Z) m/s

Calculate the specific angular momentum vector **h** for this orbit. Provide the result in component form (X, Y, Z).","The specific angular momentum vector is:

\[
\mathbf{h} = (-1.075e+14 X + -1.437e+14 Y + 3.902e+15 Z) \, \text{m}^2/\text{s}
\]"
0.455,"
For a heliocentric transfer orbit, determine the **node vector**.

Given:

Position vector at departure:
\[
\mathbf{r}_1 = 7.060e+10X -1.037e+11Y \; m
\]

Velocity vector at departure:
\[
\mathbf{v}_1 = 27262.78X + 15838.00Y + 853.54Z \; m/s
\]

Gravitational parameter of the Sun:
\[
\mu = 1.327e+20 \; m^3/s^2
\]

Calculate the node vector \( \mathbf{n} \) and express the result
in terms of its X and Y components with units.
",\[ \mathbf{n} = 6.026e+13X + -8.852e+13Y \; m^2/s \]
0.525,"For a heliocentric transfer orbit, the components of the specific angular momentum vector **h** (in m²/s) are given as:

hx = 5.58239e+14 m²/s
hy = 3.13687e+14 m²/s
hz = 5.62871e+15 m²/s

Calculate the magnitude of the specific angular momentum vector **h**.
Provide the answer in standard scientific notation.",5.66502e+15 m²/s
0.525,"For an interplanetary transfer orbit, the node vector **n** is obtained from
the cross product of the reference direction and the specific angular momentum vector.

Given the components of the node vector:

\[ n_x = 1.26972e+14 \]
\[ n_y = 1.00435e+14 \]

Calculate the magnitude of the node vector \( \mathbf{n} \).
Provide the result in standard scientific notation.",The magnitude of the node vector is \( n = 1.61892e+14 \).
0.525,"Consider a heliocentric transfer orbit defined by the following state vectors:

Position vector:
r = (8.819e+10 X + -1.054e+11 Y + 3.627e+08 Z) m

Velocity vector:
v = (29519.6 X + 12367.7 Y + 1354.8 Z) m/s

Gravitational parameter of the Sun:
GM = 1.327e+20 m^3/s^2

Using the classical orbital mechanics definition of the eccentricity vector,
compute the eccentricity vector components in the X, Y, and Z directions.","The eccentricity vector of the transfer orbit is:

\[
\mathbf{e} = -0.249029 X + -0.169192 Y + -0.013108 Z
\]
"
0.455,"Consider a heliocentric transfer orbit. At a given point on the orbit, the spacecraft has the following properties:

- Radial distance from the Sun: r = 2.235590e+11 m
- Velocity magnitude: v = 26889.97 m/s
- Solar gravitational parameter: GM = 1.327124e+20 m³/s²

Using the vis-viva equation, calculate the semi-major axis `a` of the orbit. Provide your answer in meters using standard numeric notation.",2.8589540e+11 m
0.525,"For an interplanetary transfer orbit, the eccentricity vector **e** has been computed from the spacecraft position and velocity vectors.

The components of the eccentricity vector are:

e_x = 0.164301
e_y = -0.141118
e_z = 0.009498

Calculate the magnitude of the eccentricity \( e \).

Provide your answer as a decimal number without any unit.",0.216793
0.455,"For a heliocentric transfer orbit, the specific angular momentum vector **h** has the following components (in m²/s):

h = (3.360e+15 X, 2.377e+15 Y, 4.894e+15 Z)

Calculate the orbital inclination *i* of the transfer orbit. Provide your answer in degrees.",The orbital inclination is i = 40.0674°.
0.455,"
For a heliocentric transfer orbit, the spacecraft state vector at departure is given in
an inertial reference frame as:

Position vector:
r = (2.886e+10 X + 1.204e+11 Y + 9.054e+09 Z) m

Velocity vector:
v = (1.174e+04 X + -2.844e+04 Y + 5.424e+03 Z) m/s

Using classical orbital mechanics, calculate the right ascension of the ascending node
(Ω) of the orbit. Express your final answer in degrees.
",Ω = 86.84 degrees
0.525,"
For a heliocentric transfer orbit, the spacecraft position and velocity at departure are given.

Given:
r₁ = (7.172e+10 X + -6.015e+10 Y) m  
v₁ = (28093.3 X + 16531.1 Y + 858.8 Z) m/s  
Gravitational parameter:  
μ = 1.327e+20 m³/s²  

Calculate the argument of periapsis ω for the transfer orbit.
Provide your answer in degrees.
",The argument of periapsis is ω = 144.722°.
0.455,"
For a heliocentric transfer orbit, the following position and velocity
vectors are known at the departure point.

Given:

Position vector at departure:
r₁ = (-4.291185e+10 X + 1.330815e+11 Y) m

Magnitude of position vector at arrival:
r₂ = 1.447430e+11 m

Standard gravitational parameter of the Sun:
GM = 1.327124e+20 m³/s²

Velocity vector at departure:
v₁ = 33863.6 X + 12763.0 Y + 1414.7 Z m/s

Orbital elements obtained from prior calculations:
Longitude of ascending node Ω = 287.108°
Argument of perihelion ω = 169.830°

Tasks:
1. Compute the magnitude of the velocity vector at departure.
2. Using the given orbital elements, calculate the true anomaly ν.

Provide the true anomaly in degrees.
",The true anomaly is ν = 96.938°.
0.455,"For a spacecraft departing Earth, the following data is provided:

- Injection occurs from a 250 km circular parking orbit.
- Earth's heliocentric velocity vector at departure is 29599.7X + 15731.6Y m/s.
- The spacecraft's heliocentric velocity vector at departure is 32694.1X + 16868.9Y + 708.5Z m/s.

Calculate the following:
1. The hyperbolic excess velocity at departure. Provide your answer in meters per second with one decimal place.",The hyperbolic excess velocity at departure is 3372.1 m/s.
0.595,"For a spacecraft departing Earth, the following data are provided:
- Parking orbit altitude: 288.9 km above Earth's surface
- Earth's gravitational parameter: μ = 3.986005e+14 m³/s²
- Earth's velocity vector at departure: 25785.0X + 19072.0Y m/s
- Spacecraft velocity vector after injection: 27414.0X + 22871.2Y + 1433.7Z m/s

Calculate the required injection ΔV. Provide your answer in meters per second (m/s), rounded to one decimal place.",ΔV = -4073.5 m/s
0.455,"For a spacecraft departing Earth from a circular parking orbit, the following data are given:

- Spacecraft position vector at departure (ECI frame):
  r = (6670.0 X + -1180.4 Y + -1180.2 Z) km
- Spacecraft velocity vector at departure (ECI frame):
  v = (8.3 X + 2.1 Y + -0.3 Z) km/s

Assuming the local zenith direction is aligned with the radial position vector, calculate the zenith angle of the departure asymptote.

Provide your answer in degrees to three decimal places.",25.471°
0.455,"For a spacecraft approaching a planet, the inertial velocity vectors at the time of intercept are given below.

Spacecraft velocity vector:
  V_s = -22344.5X + 5298.6Y + -221.0Z m/s

Planet velocity vector at intercept:
  V_p = -25852.5X + 3982.1Y + 499.5Z m/s

Calculate the hyperbolic excess velocity, V_∞, of the spacecraft with respect to the planet. Provide your answer in meters per second (m/s).",The hyperbolic excess velocity is V_∞ = 3815.6 m/s.
0.455,"For a spacecraft performing a hyperbolic approach to a planet, the miss distance at arrival is 14232.9 km. The angle between the incoming asymptote and the miss-distance direction is 97.812 degrees.

Assuming a planar approach, calculate the impact parameter (b) of the spacecraft's trajectory. Provide your answer in kilometers (km).",The impact parameter is **14100.83 km**.
0.525,"For a spacecraft performing a hyperbolic approach to Jupiter, a miss distance of +18,794 km is predicted at arrival. The hyperbolic excess velocity relative to Jupiter is 1901.4 m/s.

Given the gravitational parameter of Jupiter, GM = 9.458e+15 m³/s², determine the semi-major axis (a) of the hyperbolic approach trajectory.

Provide the value of the semi-major axis in kilometers.",The semi-major axis of the hyperbolic approach trajectory is -2616142.0 km.
0.455,"A spacecraft is approaching a planet on a hyperbolic trajectory. Analysis of the approach geometry provides the following parameters:

- Impact parameter, b = 9982.6 km
- Semi-major axis of the hyperbola, a = -9878.9 km

Assuming a purely two-body hyperbolic approach, calculate the eccentricity (e) of the hyperbolic trajectory.

Provide the eccentricity value as a standard numeric expression without any scientific notation or multipliers.",1.4217
0.525,"As a spacecraft approaches Saturn, it has a velocity of 13748.7 m/s and a flight path angle of 16.46 degrees measured from the horizontal.

At the same instant, Saturn itself is moving with a velocity of 13827.0 m/s at a flight path angle of 9.99 degrees.

Assuming both angles are measured from the same x-axis, what is the x-component (horizontal component) of the spacecraft's initial velocity *relative to Saturn*?

Provide your answer in meters per second (m/s).",-431.97 m/s
0.525,"As a spacecraft approaches a giant planet, it has a velocity of 8,757 m/s and a flight path angle of 58.3 degrees. The targeted miss distance is -3,771,787 km.

At the intercept point, the planet has a velocity of 9,083 m/s with a flight path angle of 3.92 degrees.

What is the **y-component (vertical component)** of the spacecraft’s initial velocity **relative to the planet**? Provide your answer in meters per second (m/s).","6,828.81 m/s"
0.525,"As a spacecraft approaches a planet, it has a heliocentric velocity of 14491.8 m/s at a flight path angle of 41.9°. The planet moves with a heliocentric velocity of 13424.9 m/s at a flight path angle of 6.5°. During the swing-by, the spacecraft's planet-relative velocity is deflected by 59.8°.

Using velocity transformation equations, determine the spacecraft's heliocentric velocity after the swing-by.","After the swing-by, the spacecraft's heliocentric velocity is 6064.39 m/s with a flight path angle of 34.27°."
0.455,"As a spacecraft approaches a giant planet during a gravity-assist maneuver, it has an incoming velocity of 10061.1 m/s with a flight path angle of 23.50 degrees and a targeted miss distance of -1,851,982 km. At intercept, the planet's velocity is 10566.4 m/s with a flight path angle of 1.39 degrees.

After the encounter, the spacecraft's velocity components in the planet-centered frame are measured as:
- x-component: -6832.7 m/s
- y-component: 7283.0 m/s

How is the resultant velocity of the spacecraft calculated using the Pythagorean theorem? Provide the answer in meters per second (m/s).",9986.35 m/s
0.525,"As a spacecraft approaches a giant planet, it has an initial velocity of 8606.7 m/s at a flight path angle of 46.60°. The targeted miss distance is -2,570,868 km. At the intercept point, the planet has a velocity of 11289.9 m/s with a flight path angle of 3.04°.

Using trigonometric relationships and vector addition, how is the final velocity of the spacecraft calculated? Compute the final velocity magnitude in meters per second (m/s).",The final velocity of the spacecraft is 18503.30 m/s.
0.525,"As a spacecraft approaches a giant planet, it has a velocity of 8426.5 m/s with a flight path angle of 44.01 degrees and a targeted miss distance of -1,031,039 km.

At the time of intercept, the planet’s velocity is 12747.4 m/s with a flight path angle of 2.48 degrees.

Assuming a simplified swing-by model using relative velocity vectors, what is the spacecraft’s flight path angle after the swing-by? Provide your answer in degrees.",The spacecraft’s flight path angle after the swing-by is 141.54°.
0.525,"A satellite is in distress in a circular, Earth-centered orbit at an altitude of 206.1 km above the Earth's surface. A rescue vehicle is in a co-planar circular orbit at an altitude of 448.5 km. The rescue vehicle is 125.6° behind the target satellite along the orbit.

What is the radius of the target satellite's orbit? Provide your answer in kilometers (km).",6584.1 km
0.525,"A satellite is in distress in a circular orbit at an altitude of 652.0 km above the Earth's surface. A rescue vehicle (interceptor) is in a co-planar circular orbit at an altitude of 179.2 km. The rescue vehicle is 42.9° behind the target satellite along the orbit.

What is the radius of the interceptor orbit? Provide your answer in kilometers.",6551.8 km
0.455,"A satellite is in distress in a circular, co-planar Earth orbit at an altitude of 730.7 km above the Earth's surface. A rescue vehicle is in a circular, co-planar orbit at an altitude of 541.7 km. The rescue vehicle is 37.4° behind the target satellite along the orbit.

Assuming a Hohmann transfer is used, determine the semi-major axis of the transfer orbit. Provide your answer in kilometers.",The semi-major axis of the transfer orbit is 7014.2 km.
0.525,"A satellite is in distress in a circular, co-planar orbit at an altitude of 258.1 km above Earth. A rescue vehicle is in a circular, co-planar orbit at an altitude of 248.6 km. The rescue vehicle is initially 96.1° behind the target.

Assuming a Hohmann transfer maneuver, determine the time of flight for the transfer. Provide your answer in minutes.",Time of flight for the maneuver: **44.79 minutes**.
0.595,"A satellite is in distress in a circular orbit at 549 km altitude. A rescue vehicle is in a co-planar circular orbit at 440 km altitude. The rescue vehicle is initially 144.7° behind the target satellite.

What is the required lead angle for the rescue maneuver? Provide the answer in degrees.",5969.1°
0.525,"A satellite is in distress in a circular orbit at an altitude of 555.4 km above Earth. A rescue vehicle is in a co-planar circular orbit at an altitude of 259.9 km. At the initial time, the rescue vehicle is 144.7° behind the target satellite.

Assuming a simplified phasing maneuver model, determine the final phase angle between the two spacecraft. Provide your answer in degrees.",35.33°
0.525,"A satellite is in distress in a circular, equatorial orbit at an altitude of 495.7 km above Earth. A rescue vehicle is in a co-planar circular orbit at an altitude of 162.3 km. The rescue vehicle is initially 121.0° behind the target satellite.

Assuming Keplerian motion and neglecting perturbations, determine the wait time required for the rescue vehicle to naturally phase around and align with the distressed satellite. Provide your answer in hours.",The required wait time is approximately 6.82 hours.
0.525,"A spacecraft and its target are in the same circular Earth orbit at an altitude of 743 km above the Earth's surface and are separated by 180° along the orbit.

How do we determine the radius of this orbit? Provide your answer in kilometers.",The radius of the orbit is 7121 km.
0.525,"A spacecraft is in a circular Earth orbit at an altitude of 344.0 km above the Earth's surface.

Assuming the orbit is perfectly circular, how do we calculate the angular velocity of the spacecraft about the center of the Earth?","The angular velocity of the spacecraft is approximately \(\omega = 1.147373e-03\,\text{rad/s}\)."
0.525,"A spacecraft and its target are in the same circular Earth orbit at an altitude of 1201 km. The spacecraft initially lags behind the target by 90°. 

If the spacecraft performs a maneuver where it slows down in order to eventually catch up with the target ('slow down to speed up'), determine the time of flight required to rendezvous. Assume Earth's gravitational parameter is 3.986e+05 km³/s².",The required time of flight for the rendezvous is approximately 82.1 minutes.
0.455,"A payload and its target are in the same circular orbit at an altitude of 1494 km above Earth. The two objects are initially separated by 180° along the orbit.

If the payload performs a maneuver in which it speeds up (entering a higher, slower orbit) in order to fall back and rendezvous with the target, how do we calculate the required travel angle? Provide the answer in degrees.",The required travel angle is 540 degrees.
0.455,"A spacecraft and a target are in the same circular Earth orbit. The target is ahead of the spacecraft by an angular separation of 118.9° along the orbit.

The target has a constant angular velocity of 0.00124 rad/s.

Assuming the spacecraft must travel the same angular distance along the orbit, determine the time of flight required to reach the target.",The required time of flight is 1675.35 seconds.
0.525,"A spacecraft and a target are in the same circular Earth orbit at an altitude of 1205 km. The spacecraft trails the target by 90° along the orbit.

Assuming the spacecraft performs a single phasing orbit to rendezvous with the target, determine the required semi-major axis of the phasing orbit. Use Earth's gravitational parameter μ = 398600 km³/s².","The required semi-major axis of the phasing orbit is:

\[
a_{phasing} \approx 8799 \text{ km}
\]"
